d_selfscan,ta1,ta2,ta3,ta4,ni1,ni2,ni3,ni4,so1,so2,so3,so4,so5,so6,yrs_age,yrs_edu,d_highedu,d_female
1,4,5,1,1,5,5,1,4,1,4,1,5,5,5,52,8,1,1
0,4,1,1,4,5,5,1,4,1,5,1,5,5,5,52,6,0,1
1,4,2,2,2,4,4,2,4,2,3,2,2,2,1,28,9,1,1
0,5,5,1,1,4,4,2,4,1,1,1,4,4,4,49,10,1,0
0,5,1,1,1,5,5,2,5,1,1,1,5,5,1,55,9,1,0
0,1,5,4,3,4,4,4,3,1,1,1,4,4,5,43,4,0,1
0,5,4,2,4,4,3,3,5,3,3,1,3,4,4,41,9,1,1
0,4,2,3,2,4,4,1,3,1,3,3,3,2,3,28,11,1,1
1,5,1,1,1,4,3,5,1,1,1,1,5,4,3,38,6,0,1
1,5,1,1,1,4,3,5,1,2,2,2,2,1,1,38,10,1,1
1,5,2,2,2,4,3,3,3,3,2,1,5,4,4,48,8,1,1
0,2,4,2,4,5,4,2,5,4,4,2,4,1,1,49,6,0,1
1,5,5,1,1,5,5,5,1,4,5,1,4,5,5,45,9,1,1
0,5,1,1,1,4,4,1,5,1,1,1,1,1,1,26,6,0,1
0,3,3,3,5,5,5,1,5,1,3,1,3,4,5,63,6,0,1
0,4,2,2,2,4,4,3,2,3,4,2,4,4,4,51,7,0,0
1,4,2,2,1,5,5,1,1,4,5,3,5,5,5,64,6,0,1
0,5,1,1,1,5,2,4,1,1,2,1,4,1,5,51,6,0,1
0,5,1,1,1,5,4,3,3,1,2,1,1,2,2,27,9,1,0
0,2,4,2,4,4,4,2,4,3,2,1,4,4,5,49,6,0,1
1,4,3,5,1,4,2,1,1,1,1,1,4,4,1,77,4,0,1
1,4,3,1,5,2,5,3,2,4,4,2,2,5,4,47,9,1,1
0,5,5,1,1,5,5,1,5,1,2,1,5,5,4,48,6,0,0
0,4,1,1,2,4,5,2,4,5,5,2,5,5,5,58,9,1,1
0,1,2,4,4,5,2,3,2,1,5,2,5,5,5,69,3,0,0
0,1,5,1,5,4,4,1,4,3,3,1,5,5,1,48,6,0,1
1,4,3,2,3,3,3,1,3,1,1,1,4,4,5,47,9,1,1
0,5,2,2,3,5,5,3,4,3,3,2,3,3,2,29,9,1,0
0,4,3,3,3,4,3,3,3,4,4,2,4,4,1,53,7,0,1
1,5,3,1,1,4,4,2,1,1,1,1,2,1,5,33,10,1,1
0,5,5,1,1,2,2,2,1,4,2,1,5,5,1,47,7,0,0
0,5,1,1,1,5,5,1,5,1,1,1,5,5,5,35,10,1,1
0,5,1,2,1,5,5,1,4,1,4,1,1,1,1,43,6,0,0
1,5,1,1,1,3,3,1,3,1,3,1,5,5,5,46,9,1,1
0,5,1,1,1,4,3,3,4,1,2,1,1,4,4,42,6,0,0
